rideshare_company,pickup_zone,dropoff_zone,trip_length_miles,trip_time_seconds,base_passenger_fare_dollars,tolls_dollars,black_car_fund_dollars,sales_tax_dollars,congestion_surcharge_dollars,airport_fee_dollars,tip_dollars,driver_pay_dollars,driver_total_pay_dollars,good_fare,request_month,request_date,request_hour,request_minute,request_day_of_week,time_of_day,pickup_borough,dropoff_borough,tip_or_no_tip
Uber,Sutton Place/Turtle Bay North,Yorkville West,1.75,411,24.21,0,0.73,2.15,2.75,0,4.47,14.7,19.17,FALSE,Jan,1,12,26,Sun,afternoon,Manhattan,Manhattan,TRUE
Uber,Rego Park,Jackson Heights,3.04,1107,25.91,0,0.78,2.3,0,0,0,13.34,13.34,FALSE,Jan,1,13,16,Sun,afternoon,Queens,Queens,FALSE
Lyft,Times Sq/Theatre District,Times Sq/Theatre District,0.887,840,12.52,0,0.11,0.31,2.75,0,0,11.18,11.18,FALSE,Jan,1,13,36,Sun,afternoon,Manhattan,Manhattan,FALSE
Lyft,South Jamaica,Forest Hills,3.199,653,10.36,0,0.31,0.92,0,0,0,0,0,FALSE,Jan,1,13,59,Sun,afternoon,Queens,Queens,FALSE
Uber,Prospect-Lefferts Gardens,Fort Greene,2.82,994,19.64,0,0.59,1.74,0,0,0,14.8,14.8,FALSE,Jan,1,14,27,Sun,afternoon,Brooklyn,Brooklyn,FALSE
Uber,Mount Hope,Highbridge,1.68,658,8.86,0,0.27,0.79,0,0,0,8.43,8.43,FALSE,Jan,1,15,3,Sun,afternoon,Bronx,Bronx,FALSE
Uber,Bushwick South,Two Bridges/Seward Park,3.69,1423,18.96,0,0.57,1.68,2.75,0,0,16.85,16.85,FALSE,Jan,1,16,58,Sun,afternoon,Brooklyn,Brooklyn,FALSE
Uber,Boerum Hill,DUMBO/Vinegar Hill,1.58,644,10.46,0,0.31,0.93,0,0,0,8.01,8.01,FALSE,Jan,1,18,22,Sun,evening,Brooklyn,Brooklyn,FALSE
Uber,Meatpacking/West Village West,Little Italy/NoLiTa,1.54,713,12.27,0,0.37,1.09,2.75,0,0,10.66,10.66,FALSE,Jan,1,18,57,Sun,evening,Manhattan,Manhattan,FALSE
Uber,Steinway,Flushing Meadows-Corona Park,7.18,1243,25.72,0,0.77,2.28,0,0,3,20.01,23.01,FALSE,Jan,1,19,8,Sun,evening,Queens,Queens,TRUE
Lyft,Lenox Hill East,Lincoln Square East,2.249,826,14.83,0,0.4,1.19,2.75,0,0,9.94,9.94,FALSE,Jan,1,19,41,Sun,evening,Manhattan,Manhattan,FALSE
Lyft,Lenox Hill East,East Village,3.59,609,13.46,0,0.4,1.19,2.75,0,3.56,9.58,13.14,FALSE,Jan,1,19,42,Sun,evening,Manhattan,Manhattan,TRUE
Uber,Brighton Beach,Gowanus,7.1,1709,30.33,0,0.91,2.69,0,0,0,23.47,23.47,FALSE,Jan,1,19,55,Sun,evening,Brooklyn,Brooklyn,FALSE
Uber,East Tremont,Soundview/Bruckner,1.29,511,9.03,0,0.27,0.8,0,0,0,6.99,6.99,FALSE,Jan,1,20,12,Sun,evening,Bronx,Bronx,FALSE
Lyft,Williamsbridge/Olinville,Allerton/Pelham Gardens,1.709,548,8.93,0,0.27,0.79,0,0,0,6.85,6.85,FALSE,Jan,1,21,4,Sun,evening,Bronx,Bronx,FALSE
Uber,Rego Park,Forest Hills,0.73,278,9.76,0,0.29,0.87,0,0,0,7.68,7.68,FALSE,Jan,1,21,12,Sun,evening,Queens,Queens,FALSE
Lyft,Ocean Hill,Stuyvesant Heights,1.112,267,14.6,0,0.46,1.34,0,0,0,5.47,5.47,FALSE,Jan,1,21,56,Sun,evening,Brooklyn,Brooklyn,FALSE
Uber,Clinton East,Clinton East,0.64,196,7.38,0,0.22,0.65,2.75,0,0,5.64,5.64,FALSE,Jan,2,0,4,Mon,night,Manhattan,Manhattan,FALSE
Uber,Central Harlem North,Woodlawn/Wakefield,7.36,949,23.2,0,0.7,2.06,0,0,0,19.52,19.52,FALSE,Jan,2,0,40,Mon,night,Manhattan,Manhattan,FALSE
Lyft,Central Harlem,Central Harlem,0.755,321,7.62,0,0.23,0.68,0,0,0,5.47,5.47,FALSE,Jan,2,5,47,Mon,night,Manhattan,Manhattan,FALSE
Uber,Times Sq/Theatre District,JFK Airport,17.5,1764,58.14,6.55,2.02,5.96,2.75,2.5,15.58,35.88,51.46,FALSE,Jan,2,6,39,Mon,morning,Manhattan,Manhattan,TRUE
Uber,Sunset Park West,Cobble Hill,3.61,758,16.9,0,0.51,1.5,0,0,0,10.88,10.88,FALSE,Jan,2,7,27,Mon,morning,Brooklyn,Brooklyn,FALSE
Uber,Woodhaven,Bedford Park,18.33,1934,49.3,6.55,1.68,4.96,0,0,0,38.84,38.84,FALSE,Jan,2,7,38,Mon,morning,Queens,Queens,FALSE
Uber,East Chelsea,Forest Hills,8.63,1822,36.18,6.55,1.28,3.79,2.75,0,0,26.11,26.11,FALSE,Jan,2,11,17,Mon,morning,Manhattan,Manhattan,FALSE
Uber,Two Bridges/Seward Park,Little Italy/NoLiTa,1.53,460,9.99,0,0.3,0.89,2.75,0,1,5.84,6.84,FALSE,Jan,2,12,48,Mon,afternoon,Manhattan,Manhattan,TRUE
Lyft,Upper East Side North,Clinton West,3.39,1017,16.25,0,0.49,1.44,2.75,0,0,12.96,12.96,FALSE,Jan,2,14,46,Mon,afternoon,Manhattan,Manhattan,FALSE
Lyft,Williamsburg (North Side),Bedford,2.136,868,15.24,0,0.41,1.2,0,0,0,10.18,10.18,FALSE,Jan,2,15,12,Mon,afternoon,Brooklyn,Brooklyn,FALSE
Uber,Greenwich Village North,Battery Park City,2.83,840,21.66,0,0.65,1.92,2.75,0,4.04,13.83,17.87,FALSE,Jan,2,15,18,Mon,afternoon,Manhattan,Manhattan,TRUE
Uber,Flatbush/Ditmas Park,Canarsie,3.81,1200,24.59,0,0.74,2.18,0,0,0,16.44,16.44,FALSE,Jan,2,15,40,Mon,afternoon,Brooklyn,Brooklyn,FALSE
Uber,Manhattanville,Murray Hill,7.79,1944,33.12,0,0.99,2.94,2.75,0,0,26.53,26.53,FALSE,Jan,2,15,49,Mon,afternoon,Manhattan,Manhattan,FALSE
Uber,LaGuardia Airport,Garment District,8.63,1588,31.39,6.55,1.21,3.59,2.75,2.5,9.59,24.04,33.63,FALSE,Jan,2,15,50,Mon,afternoon,Queens,Queens,TRUE
Uber,Midtown Center,Homecrest,14.65,2407,73.03,6.55,2.39,7.06,2.75,0,0,41.88,41.88,FALSE,Jan,2,16,4,Mon,afternoon,Manhattan,Manhattan,FALSE
Uber,Lower East Side,Two Bridges/Seward Park,0.68,514,8.24,0,0.25,0.73,2.75,0,0,5.41,5.41,FALSE,Jan,2,16,37,Mon,afternoon,Manhattan,Manhattan,FALSE
Lyft,Eastchester,Eastchester,4.089,1237,20.63,0,0.48,1.43,0,0,0,15.73,15.73,FALSE,Jan,2,17,38,Mon,afternoon,Bronx,Bronx,FALSE
Uber,Mount Hope,LaGuardia Airport,11.66,1135,25.79,6.55,1.05,3.09,0,2.5,0,23.56,23.56,FALSE,Jan,2,19,9,Mon,evening,Bronx,Bronx,FALSE
Uber,East Harlem North,Upper West Side South,3.64,1017,17.61,0,0.53,1.56,2.75,0,0,13.55,13.55,FALSE,Jan,2,19,47,Mon,evening,Manhattan,Manhattan,FALSE
Uber,Midtown East,Sutton Place/Turtle Bay North,1.1,488,9.61,0,0.29,0.85,2.75,0,0,5.89,5.89,FALSE,Jan,2,20,4,Mon,evening,Manhattan,Manhattan,FALSE
Lyft,Lincoln Square East,Allerton/Pelham Gardens,12.818,1898,36.21,0,1.02,3.01,2.75,0,0,36.02,36.02,FALSE,Jan,2,20,58,Mon,evening,Manhattan,Manhattan,FALSE
Lyft,Sunset Park East,Sheepshead Bay,12.106,1531,30.21,0,0.91,2.68,0,0,0,27.66,27.66,FALSE,Jan,2,22,9,Mon,night,Brooklyn,Brooklyn,FALSE
Lyft,Crown Heights South,Ridgewood,4.847,1422,22.25,0,0.67,1.97,0,0,0,18.25,18.25,FALSE,Jan,2,22,33,Mon,night,Brooklyn,Brooklyn,FALSE
Uber,Canarsie,Bedford,5.8,1479,23.18,0,0.7,2.06,0,0,0,20.1,20.1,FALSE,Jan,2,23,35,Mon,night,Brooklyn,Brooklyn,FALSE
Lyft,Bushwick North,Fort Greene,12.266,3280,45.43,0,1.36,4.03,0,0,0,43.36,43.36,FALSE,Jan,3,2,31,Tue,night,Brooklyn,Brooklyn,FALSE
Uber,Kips Bay,JFK Airport,18.63,1745,38.5,0,1.23,3.64,2.75,2.5,0,37.02,37.02,FALSE,Jan,3,4,15,Tue,night,Manhattan,Manhattan,FALSE
Uber,Upper West Side South,Lenox Hill West,2.02,626,14.5,0,0.44,1.29,2.75,0,0,7.87,7.87,FALSE,Jan,3,6,32,Tue,morning,Manhattan,Manhattan,FALSE
Uber,Heartland Village/Todt Hill,New Dorp/Midland Beach,3.85,1124,22.71,0,0.68,2.02,0,0,0,14.4,14.4,FALSE,Jan,3,7,27,Tue,morning,Staten Island,Staten Island,FALSE
Uber,East Williamsburg,Long Island City/Hunters Point,2.67,1104,21.39,0,0.64,1.9,0,0,2.39,15.6,17.99,FALSE,Jan,3,7,46,Tue,morning,Brooklyn,Brooklyn,TRUE
Uber,Union Sq,Woodside,6.65,1408,38.82,6.55,1.36,4.03,2.75,0,0,22.06,22.06,FALSE,Jan,3,9,19,Tue,morning,Manhattan,Manhattan,FALSE
Lyft,Long Island City/Hunters Point,Newark Airport,17.861,2803,72.75,23.71,2.97,0,0,2.5,0,49.05,49.05,FALSE,Jan,3,9,36,Tue,morning,Queens,Queens,FALSE
Uber,Marine Park/Mill Basin,Midwood,1.37,495,8.93,0,0.27,0.79,0,0,1,5.96,6.96,FALSE,Jan,3,9,36,Tue,morning,Brooklyn,Brooklyn,TRUE
Uber,Dyker Heights,Borough Park,1.33,546,8.9,0,0.27,0.79,0,0,5,8.32,13.32,FALSE,Jan,3,11,30,Tue,morning,Brooklyn,Brooklyn,TRUE
Uber,Lincoln Square West,Lenox Hill East,2.6,1283,21.58,0,0.65,1.92,2.75,0,0,14.35,14.35,FALSE,Jan,3,12,13,Tue,afternoon,Manhattan,Manhattan,FALSE
Uber,Lenox Hill East,Midtown East,1.29,534,10.89,0,0.33,0.97,2.75,0,3,6.22,9.22,FALSE,Jan,3,12,24,Tue,afternoon,Manhattan,Manhattan,TRUE
Uber,SoHo,Midtown Center,2.71,835,20.74,0,0.62,1.84,2.75,0,0,10.82,10.82,FALSE,Jan,3,14,5,Tue,afternoon,Manhattan,Manhattan,FALSE
Uber,Briarwood/Jamaica Hills,Ozone Park,6.03,885,23.13,0,0.69,2.05,0,0,0,14.81,14.81,FALSE,Jan,3,14,6,Tue,afternoon,Queens,Queens,FALSE
Lyft,Times Sq/Theatre District,TriBeCa/Civic Center,4.908,1758,23.42,0,0.7,2.08,2.75,0,0,21.31,21.31,FALSE,Jan,3,16,14,Tue,afternoon,Manhattan,Manhattan,FALSE
Uber,Elmhurst,Jamaica,4.51,1478,24.36,0,0.73,2.16,0,0,0,18.66,18.66,FALSE,Jan,3,16,56,Tue,afternoon,Queens,Queens,FALSE
Uber,Park Slope,Fort Greene,1.13,518,8.94,0,0.27,0.79,0,0,5,5.88,10.88,FALSE,Jan,3,16,59,Tue,afternoon,Brooklyn,Brooklyn,TRUE
Uber,Park Slope,Cobble Hill,1.18,405,7.51,0,0.23,0.67,0,0,0,8.96,8.96,FALSE,Jan,3,18,6,Tue,evening,Brooklyn,Brooklyn,FALSE
Uber,South Jamaica,Briarwood/Jamaica Hills,2.09,746,11.91,0,0.36,1.06,0,0,0,9.01,9.01,FALSE,Jan,3,18,58,Tue,evening,Queens,Queens,FALSE
Uber,Midtown Center,Old Astoria,4.29,1086,37.33,0,1.12,3.31,2.75,0,0,26.46,26.46,FALSE,Jan,3,19,24,Tue,evening,Manhattan,Manhattan,FALSE
Uber,East Village,East Chelsea,1.98,785,12.7,0,0.38,1.13,2.75,0,0,10.27,10.27,FALSE,Jan,3,20,41,Tue,evening,Manhattan,Manhattan,FALSE
Uber,Marine Park/Mill Basin,East Flatbush/Remsen Village,2.27,614,11.61,0,0.35,1.03,0,0,0,8.05,8.05,FALSE,Jan,3,22,37,Tue,night,Brooklyn,Brooklyn,FALSE
Uber,World Trade Center,Greenwich Village South,1.76,718,20.61,0,0.62,1.83,2.75,0,0,16.39,16.39,FALSE,Jan,3,22,45,Tue,night,Manhattan,Manhattan,FALSE
Uber,Chinatown,Bedford,4.14,979,19.09,0,0.57,1.69,2.75,0,0,13.45,13.45,FALSE,Jan,3,23,2,Tue,night,Manhattan,Manhattan,FALSE
Uber,Financial District South,Hamilton Heights,13.95,1544,38.2,0,1.15,3.39,0.75,0,0,30.25,30.25,FALSE,Jan,4,1,26,Wed,night,Manhattan,Manhattan,FALSE
Uber,Yorkville East,Murray Hill,3.22,768,18.1,0,0.54,1.61,2.75,0,0,12.27,12.27,FALSE,Jan,4,6,39,Wed,morning,Manhattan,Manhattan,FALSE
Uber,JFK Airport,Outside of NYC,6.81,1550,27.04,0,0.89,2.62,0,2.5,4.95,24,28.95,FALSE,Jan,4,7,44,Wed,morning,Queens,Queens,TRUE
Uber,Bedford Park,Fordham South,1.13,575,9.78,0,0.29,0.87,0,0,0,6.39,6.39,FALSE,Jan,4,7,51,Wed,morning,Bronx,Bronx,FALSE
Lyft,Briarwood/Jamaica Hills,Jamaica,2.901,1122,12.5,0,0.38,1.11,0,0,0,13.33,13.33,FALSE,Jan,4,7,59,Wed,morning,Queens,Queens,FALSE
Uber,Yorkville East,TriBeCa/Civic Center,8.56,1708,38.58,0,1.16,3.42,2.75,0,0,25.02,25.02,FALSE,Jan,4,8,15,Wed,morning,Manhattan,Manhattan,FALSE
Uber,Prospect-Lefferts Gardens,Crown Heights North,1.98,987,15.29,0,0.46,1.36,0,0,0,11.02,11.02,FALSE,Jan,4,8,20,Wed,morning,Brooklyn,Brooklyn,FALSE
Lyft,Starrett City,East New York/Pennsylvania Avenue,2.315,872,17.05,0,0.51,1.51,0,0,0,10.43,10.43,FALSE,Jan,4,8,21,Wed,morning,Brooklyn,Brooklyn,FALSE
Lyft,Williamsbridge/Olinville,University Heights/Morris Heights,6.413,1276,20.28,0,0.61,1.8,0,0,0,18.78,18.78,FALSE,Jan,4,9,12,Wed,morning,Bronx,Bronx,FALSE
Lyft,Boerum Hill,Crown Heights North,2.205,905,13.4,0,0.4,1.19,0,0,3,10.6,13.6,FALSE,Jan,4,9,21,Wed,morning,Brooklyn,Brooklyn,TRUE
Uber,Eastchester,Pelham Parkway,2.79,692,14.22,0,0.43,1.26,0,0,0,9.35,9.35,FALSE,Jan,4,9,53,Wed,morning,Bronx,Bronx,FALSE
Uber,Central Harlem North,Central Harlem North,0.46,200,8.29,0,0.25,0.74,0,0,0,5.67,5.67,FALSE,Jan,4,9,57,Wed,morning,Manhattan,Manhattan,FALSE
Lyft,Upper West Side South,Upper West Side South,0.757,343,7.17,0,0.22,0.64,2.75,0,0,5.47,5.47,FALSE,Jan,4,12,26,Wed,afternoon,Manhattan,Manhattan,FALSE
Uber,East Village,Crown Heights North,7.86,1908,27.87,0,0.84,2.47,2.75,0,5.08,26.29,31.37,FALSE,Jan,4,12,34,Wed,afternoon,Manhattan,Manhattan,TRUE
Lyft,Central Harlem,Lincoln Square East,2.468,869,13.62,0,0.41,1.21,2.75,0,0,10.58,10.58,FALSE,Jan,4,12,41,Wed,afternoon,Manhattan,Manhattan,FALSE
Uber,Union Sq,Union Sq,0.81,556,8.18,0,0.25,0.73,2.75,0,0,5.85,5.85,FALSE,Jan,4,12,46,Wed,afternoon,Manhattan,Manhattan,FALSE
Uber,Bronxdale,Norwood,1.94,496,11.54,0,0.35,1.02,0,0,0,6.63,6.63,FALSE,Jan,4,14,9,Wed,afternoon,Bronx,Bronx,FALSE
Uber,East Chelsea,Hamilton Heights,7.86,1951,34.02,0,1.02,3.02,2.75,0,0,26.35,26.35,FALSE,Jan,4,14,36,Wed,afternoon,Manhattan,Manhattan,FALSE
Uber,Midtown East,Midtown South,1.55,683,28.11,0,0.84,2.49,2.75,0,0,15.58,15.58,FALSE,Jan,4,15,38,Wed,afternoon,Manhattan,Manhattan,FALSE
Lyft,Middle Village,Middle Village,2.354,965,12.33,0,0.37,1.09,0,0,0,11.3,11.3,FALSE,Jan,4,16,25,Wed,afternoon,Queens,Queens,FALSE
Uber,Forest Hills,Forest Hills,1.74,888,13.4,0,0.4,1.19,0,0,0,10.75,10.75,FALSE,Jan,4,16,48,Wed,afternoon,Queens,Queens,FALSE
Lyft,Stuyvesant Heights,Bedford,1.076,422,7.05,0,0.21,0.63,0,0,0,5.47,5.47,FALSE,Jan,4,16,56,Wed,afternoon,Brooklyn,Brooklyn,FALSE
Uber,TriBeCa/Civic Center,Financial District North,1.8,556,10.88,0,0.33,0.97,2.75,0,0,7,7,FALSE,Jan,4,16,56,Wed,afternoon,Manhattan,Manhattan,FALSE
Lyft,Times Sq/Theatre District,Union Sq,1.642,1123,23.92,0,0.72,2.12,2.75,0,0,11.87,11.87,FALSE,Jan,4,16,59,Wed,afternoon,Manhattan,Manhattan,FALSE
Uber,Long Island City/Hunters Point,Boerum Hill,6.25,2118,36.43,0,1.09,3.23,0,0,4.07,28.6,32.67,FALSE,Jan,4,18,8,Wed,evening,Queens,Queens,TRUE
Lyft,Borough Park,Borough Park,0.614,677,7.47,0,0.22,0.66,0,0,0,6.9,6.9,FALSE,Jan,4,19,2,Wed,evening,Brooklyn,Brooklyn,FALSE
Uber,Upper East Side North,Washington Heights North,7.58,1629,35,0,1.05,3.11,2.75,0,0,25.26,25.26,FALSE,Jan,4,19,6,Wed,evening,Manhattan,Manhattan,FALSE
Uber,Sunnyside,Midtown Center,2.72,917,16.26,0,0.49,1.44,2.75,0,3,11.26,14.26,FALSE,Jan,4,19,43,Wed,evening,Queens,Queens,TRUE
Lyft,Kew Gardens Hills,Forest Hills,2.707,639,11.61,0,0.35,1.03,0,0,0,8.82,8.82,FALSE,Jan,4,19,58,Wed,evening,Queens,Queens,FALSE
Lyft,Manhattan Beach,Sheepshead Bay,0.531,254,6.25,0,0.19,0.55,0,0,0,5.47,5.47,FALSE,Jan,4,20,21,Wed,evening,Brooklyn,Brooklyn,FALSE
Lyft,Hamilton Heights,Highbridge,1.386,320,7.78,0,0.23,0.69,0,0,0,5.47,5.47,FALSE,Jan,4,21,36,Wed,evening,Manhattan,Manhattan,FALSE
Uber,Yorkville East,Outside of NYC,15.79,1799,49.6,0,1.49,4.4,2.75,0,0,37.96,37.96,FALSE,Jan,4,22,8,Wed,night,Manhattan,Manhattan,FALSE
Lyft,Lower East Side,Bushwick North,5.223,1143,19.66,0,0.59,1.75,2.75,0,0,16.22,16.22,FALSE,Jan,4,22,26,Wed,night,Manhattan,Manhattan,FALSE
Uber,Borough Park,Borough Park,0.97,491,7.51,0,0.23,0.67,0,0,0,5.78,5.78,FALSE,Jan,4,23,6,Wed,night,Brooklyn,Brooklyn,FALSE
Lyft,Union Sq,Times Sq/Theatre District,1.704,460,13.67,0,0.41,1.21,2.75,0,0,6.06,6.06,FALSE,Jan,5,0,16,Thu,night,Manhattan,Manhattan,FALSE
Lyft,South Williamsburg,East Williamsburg,1.218,375,7.62,0,0.23,0.68,0,0,0,8.07,8.07,FALSE,Jan,5,3,31,Thu,night,Brooklyn,Brooklyn,FALSE
Lyft,East Elmhurst,Flushing,2.647,649,9.83,0,0.29,0.87,0,0,0,9.71,9.71,FALSE,Jan,5,4,56,Thu,night,Queens,Queens,FALSE
Uber,West Village,Kips Bay,2.76,767,11.4,0,0.34,1.01,2.75,0,0,9.97,9.97,FALSE,Jan,5,6,1,Thu,morning,Manhattan,Manhattan,FALSE
Uber,Mariners Harbor,Port Richmond,1.44,287,8.25,0,0.25,0.73,0,0,0,8.18,8.18,FALSE,Jan,5,7,45,Thu,morning,Staten Island,Staten Island,FALSE
Uber,Glen Oaks,Saint Albans,9.29,1376,30.41,0,0.91,2.7,0,0,0,22.93,22.93,FALSE,Jan,5,8,7,Thu,morning,Queens,Queens,FALSE
Uber,Greenwich Village North,Newark Airport,13.38,1769,55.51,21,2.37,0,0,2.5,0,39.56,39.56,FALSE,Jan,5,8,19,Thu,morning,Manhattan,Manhattan,FALSE
Lyft,Sheepshead Bay,Brighton Beach,2.076,644,11.32,0,0.34,1,0,0,0,8.13,8.13,FALSE,Jan,5,9,19,Thu,morning,Brooklyn,Brooklyn,FALSE
Uber,Saint Albans,Saint Albans,2.41,550,10.64,0,0.32,0.94,0,0,0,7.96,7.96,FALSE,Jan,5,11,51,Thu,morning,Queens,Queens,FALSE
Uber,Boerum Hill,DUMBO/Vinegar Hill,1.75,749,12.47,0,0.37,1.11,0,0,1,8.64,9.64,FALSE,Jan,5,12,47,Thu,afternoon,Brooklyn,Brooklyn,TRUE
Uber,Bedford,Bedford,0.81,619,10.03,0,0.3,0.89,0,0,0,7,7,FALSE,Jan,5,13,19,Thu,afternoon,Brooklyn,Brooklyn,FALSE
Uber,Hamilton Heights,Upper West Side North,4.04,1048,16.69,0,0.5,1.48,2.75,0,0,13.95,13.95,FALSE,Jan,5,13,50,Thu,afternoon,Manhattan,Manhattan,FALSE
Uber,Homecrest,Homecrest,0.81,385,5.22,0,0.16,0.46,0,0,0,5.77,5.77,FALSE,Jan,5,14,26,Thu,afternoon,Brooklyn,Brooklyn,FALSE
Uber,Flatiron,Midtown South,1.34,670,12.71,0,0.38,1.13,2.75,0,0,9.67,9.67,FALSE,Jan,5,14,30,Thu,afternoon,Manhattan,Manhattan,FALSE
Uber,Van Nest/Morris Park,Pelham Parkway,0.86,383,7.91,0,0.24,0.7,0,0,0,5.85,5.85,FALSE,Jan,5,15,37,Thu,afternoon,Bronx,Bronx,FALSE
Uber,Soundview/Castle Hill,Pelham Parkway,5.06,1669,27.45,0,0.82,2.44,0,0,0,20.61,20.61,FALSE,Jan,5,15,40,Thu,afternoon,Bronx,Bronx,FALSE
Uber,Mount Hope,Claremont/Bathgate,0.6,437,7.91,0,0.24,0.7,0,0,0,5.4,5.4,FALSE,Jan,5,16,28,Thu,afternoon,Bronx,Bronx,FALSE
Lyft,Fordham South,East Concourse/Concourse Village,2.474,1222,23.91,0,0.72,2.12,0,0,0,13.72,13.72,FALSE,Jan,5,16,40,Thu,afternoon,Bronx,Bronx,FALSE
Uber,LaGuardia Airport,Crown Heights North,9.28,2858,45.7,0,1.45,4.28,0,2.5,0,36,36,FALSE,Jan,5,16,53,Thu,afternoon,Queens,Queens,FALSE
Uber,Bellerose,South Jamaica,3.45,1203,18.67,0,0.56,1.66,0,0,2.08,15.12,17.2,FALSE,Jan,5,17,29,Thu,afternoon,Queens,Queens,TRUE
Uber,Central Harlem North,Hamilton Heights,1.1,651,8.91,0,0.27,0.79,0,0,0,7.32,7.32,FALSE,Jan,5,18,10,Thu,evening,Manhattan,Manhattan,FALSE
Uber,Prospect-Lefferts Gardens,Flatbush/Ditmas Park,1.3,658,10.67,0,0.32,0.95,0,0,0,8.64,8.64,FALSE,Jan,5,18,13,Thu,evening,Brooklyn,Brooklyn,FALSE
Uber,Greenpoint,East Williamsburg,1.61,703,11.75,0,0.35,1.04,0,0,0,8.08,8.08,FALSE,Jan,5,18,14,Thu,evening,Brooklyn,Brooklyn,FALSE
Lyft,Jackson Heights,Two Bridges/Seward Park,8.57,1723,23.62,0,0.72,2.14,0.75,0,2.78,0,2.78,FALSE,Jan,5,18,23,Thu,evening,Queens,Queens,TRUE
Lyft,Greenpoint,Sunnyside,3.644,889,16.08,0,0.48,1.43,0,0,0,12.13,12.13,FALSE,Jan,5,19,1,Thu,evening,Brooklyn,Brooklyn,FALSE
